remaining_lease_in_months,percentage
124,0.279333333
123,0.277178571
122,0.27502381
121,0.272869048
120,0.270714286
119,0.268559524
118,0.266404762
117,0.26425
116,0.262095238
115,0.259940476
114,0.257785714
113,0.255630952
112,0.25347619
111,0.251321429
110,0.249166667
109,0.247011905
108,0.244857143
107,0.242702381
106,0.240547619
105,0.238392857
104,0.236238095
103,0.234083333
102,0.231928571
101,0.22977381
100,0.227619048
99,0.225464286
98,0.223309524
97,0.221154762
96,0.219
95,0.216845238
94,0.214690476
93,0.212535714
92,0.210380952
91,0.20822619
90,0.206071429
89,0.203916667
88,0.201761905
87,0.199607143
86,0.197452381
85,0.195297619
84,0.193142857
83,0.190988095
82,0.188833333
81,0.186678571
80,0.18452381
79,0.182369048
78,0.180214286
77,0.178059524
76,0.175904762
75,0.17375
74,0.171595238
73,0.169440476
72,0.167285714
71,0.165130952
70,0.16297619
69,0.160821429
68,0.158666667
67,0.156511905
66,0.154357143
65,0.152202381
64,0.150047619
63,0.147892857
62,0.145738095
61,0.143583333
60,0.141428571
59,0.13927381
58,0.137119048
57,0.134964286
56,0.132809524
55,0.130654762
54,0.1285
53,0.126345238
52,0.124190476
51,0.122035714
50,0.119880952
49,0.11772619
48,0.115571429
47,0.113416667
46,0.111261905
45,0.109107143
44,0.106952381
43,0.104797619
42,0.102642857
41,0.100488095
40,0.098333333
39,0.096178571
38,0.09402381
37,0.091869048
36,0.089714286
35,0.087559524
34,0.085404762
33,0.08325
32,0.081095238
31,0.078940476
30,0.076785714
29,0.074630952
28,0.07247619
27,0.070321429
26,0.068166667
25,0.066011905
24,0.063857143
23,0.061702381
22,0.059547619
21,0.057392857
20,0.055238095
19,0.053083333
18,0.050928571
17,0.04877381
16,0.046619048
15,0.044464286
14,0.042309524
13,0.040154762
12,0.038
11,0.034833333
10,0.031666667
9,0.0285
8,0.025333333
7,0.022166667
6,0.019
5,0.015833333
4,0.012666667
3,0.0095
2,0.006333333
1,0.003166667
0,0
